node,species,CesA,
1,Penium margaritaceum,,
2,Penium margaritaceum,,
3,Anthoceros agrestis,,
4,Anthoceros punctatus,
5,Anthoceros angustus,,
6,Sphagnum fallax,,
7,Sphagnum magellanicum,,
8,Sphagnum magellanicum,,
9,Sphagnum fallax,,
10,Sphagnum magellanicum,,
11,Sphagnum fallax,,
12,Fontanalis antipyretica,,
13,Hypnum curvifolium,,
14,Entodon seductrix,,
15,Physcomitrium patens,CESA1,
16,Ceratodon purpureus R40,,
17,Ceratodon purpureus GG1,,
18,Ceratodon purpureus R40,,
19,Ceratodon purpureus GG1,,
20,Physcomitrium patens,CESA4,
21,Physcomitrium patens,CESA10,
22,Physcomitrium patens,CESA7,
23,Physcomitrium patens,CESA6,
24,Ceratodon purpureus R40,N,
25,Ceratodon purpureus GG1,,
26,Entodon seductrix,,
27,Hypnum curvifolium,,
28,Fontanalis antipyretica,,
29,Sphagnum fallax,,
30,Sphagnum magellanicum,,
31,Sphagnum fallax,,
32,Sphagnum magellanicum,,
33,Sphagnum fallax,,
34,Sphagnum magellanicum,,
35,Physcomitrium patens,CESA8,
36,Physcomitrium patens,CESA3,
37,Ceratodon purpureus R40,,
38,Ceratodon purpureus GG1,,
39,Fontanalis antipyretica,,
40,Hypnum curvifolium,,
41,Entodon seductrix,,
42,Fontanalis antipyretica,,
43,Hypnum curvifolium,,
44,Entodon seductrix,,
45,Physcomitrium patens,CESA5,
46,Ceratodon purpureus R40,,
47,Ceratodon purpureus GG1,,
48,Marchantia polymorpha,,
49,Marchantia polymorpha,,
50,Penium margaritaceum,,